Device/Package xc7a100tfgg676 6/6/2012 10:07:15                                                                                                   
                                                                                                         
Pin   Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
G9    IO_L6N_T0_VREF_35             0                  35    NA            NA                  HR        NA
J6    IO_L7P_T1_AD6P_35             1                  35    NA            NA                  HR        NA
J5    IO_L7N_T1_AD6N_35             1                  35    NA            NA                  HR        NA
L8    IO_L8P_T1_AD14P_35            1                  35    NA            NA                  HR        NA
K8    IO_L8N_T1_AD14N_35            1                  35    NA            NA                  HR        NA
J4    IO_L9P_T1_DQS_AD7P_35         1                  35    NA            NA                  HR        NA
H4    IO_L9N_T1_DQS_AD7N_35         1                  35    NA            NA                  HR        NA
K7    IO_L10P_T1_AD15P_35           1                  35    NA            NA                  HR        NA
K6    IO_L10N_T1_AD15N_35           1                  35    NA            NA                  HR        NA
G4    IO_L11P_T1_SRCC_35            1                  35    NA            NA                  HR        NA
F4    IO_L11N_T1_SRCC_35            1                  35    NA            NA                  HR        NA
G5    IO_L12P_T1_MRCC_35            1                  35    NA            NA                  HR        NA
F5    IO_L12N_T1_MRCC_35            1                  35    NA            NA                  HR        NA
E5    IO_L13P_T2_MRCC_35            2                  35    NA            NA                  HR        NA
D5    IO_L13N_T2_MRCC_35            2                  35    NA            NA                  HR        NA
D4    IO_L14P_T2_SRCC_35            2                  35    NA            NA                  HR        NA
C4    IO_L14N_T2_SRCC_35            2                  35    NA            NA                  HR        NA
B5    IO_L15P_T2_DQS_35             2                  35    NA            NA                  HR        NA
A5    IO_L15N_T2_DQS_35             2                  35    NA            NA                  HR        NA
B4    IO_L16P_T2_35                 2                  35    NA            NA                  HR        NA
A4    IO_L16N_T2_35                 2                  35    NA            NA                  HR        NA
D3    IO_L17P_T2_35                 2                  35    NA            NA                  HR        NA
C3    IO_L17N_T2_35                 2                  35    NA            NA                  HR        NA
F3    IO_L18P_T2_35                 2                  35    NA            NA                  HR        NA
E3    IO_L18N_T2_35                 2                  35    NA            NA                  HR        NA
C2    IO_L19P_T3_35                 3                  35    NA            NA                  HR        NA
B2    IO_L19N_T3_VREF_35            3                  35    NA            NA                  HR        NA
A3    IO_L20P_T3_35                 3                  35    NA            NA                  HR        NA
A2    IO_L20N_T3_35                 3                  35    NA            NA                  HR        NA
C1    IO_L21P_T3_DQS_35             3                  35    NA            NA                  HR        NA
B1    IO_L21N_T3_DQS_35             3                  35    NA            NA                  HR        NA
F2    IO_L22P_T3_35                 3                  35    NA            NA                  HR        NA
E2    IO_L22N_T3_35                 3                  35    NA            NA                  HR        NA
E1    IO_L23P_T3_35                 3                  35    NA            NA                  HR        NA
D1    IO_L23N_T3_35                 3                  35    NA            NA                  HR        NA
G2    IO_L24P_T3_35                 3                  35    NA            NA                  HR        NA
G1    IO_L24N_T3_35                 3                  35    NA            NA                  HR        NA
H3    IO_25_35                      NA                 35    NA            NA                  HR        NA
AE7   MGTPTXP3_213                  NA                 213   NA            NA                  GTP       NA
AF7   MGTPTXN3_213                  NA                 213   NA            NA                  GTP       NA
AC8   MGTPTXP2_213                  NA                 213   NA            NA                  GTP       NA
AD8   MGTPTXN2_213                  NA                 213   NA            NA                  GTP       NA
AE9   MGTPTXP1_213                  NA                 213   NA            NA                  GTP       NA
